OPENDATA_IDENTIFICADOR,PROMOTOR,TIPUS_ACCES,VELOCITAT_CARREGA1,TIPUS_CONNEXIO1,VELOCITAT_CARREGA2,TIPUS_CONNEXIO2,VELOCITAT_CARREGA3,TIPUS_CONNEXIO3,Latitude,Longitude,DESIGNACIO_DESCRIPTIVA,ADREÇA,MUNICIPI,CODI_INE,PROVINCIA,CODI_PROV,NUM_PLACES_CARREGA,TIPUS_VEHICLE1,TIPUS_VEHICLE2,TELEFON,CODI_ASIA,CODI_BCN
08-0193-30-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394238,2.181891,B:SM 10 - Estació Barcelona-Nord,Carrer d'Alí Bei, 54,Barcelona,0193,Barcelona,08,8,moto,,93.265.81.64,93308083222,BSM014
08-0193-30-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394238,2.181891,B:SM 10 - Estació Barcelona-Nord,Carrer d'Alí Bei, 54,Barcelona,0193,Barcelona,08,8,moto,,93.265.81.64,93308083222,BSM014
08-0193-30-7,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394238,2.181891,B:SM 10 - Estació Barcelona-Nord,Carrer d'Alí Bei, 54,Barcelona,0193,Barcelona,08,8,moto,,93.265.81.64,93308083222,BSM014
08-0193-30-8,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394238,2.181891,B:SM 10 - Estació Barcelona-Nord,Carrer d'Alí Bei, 54,Barcelona,0193,Barcelona,08,8,moto,,93.265.81.64,93308083222,BSM014
08-0193-31-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,cotxe,,93.205.02.09,99400335491,BSM015
08-0193-31-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,cotxe,,93.205.02.09,99400335491,BSM015
08-0193-31-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,cotxe,,93.205.02.09,99400335491,BSM015
08-0193-31-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,cotxe,,93.205.02.09,99400335491,BSM015
08-0193-31-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,cotxe,,93.205.02.09,99400335491,BSM015
08-0193-31-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,cotxe,,93.205.02.09,99400335491,BSM015
08-0193-31-7,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,moto,,93.205.02.09,99400335491,BSM015
08-0193-31-8,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.394009,2.115265,B:SM 20 - Marques de Mulhacen,Carrer de Marquès de Mulhacén, 49-51,Barcelona,0193,Barcelona,08,8,moto,,93.205.02.09,99400335491,BSM015
08-0193-32-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.372299,2.153134,B:SM 35 - Rius i Taulet,Avinguda  de Rius i Taulet, 4-12,Barcelona,0193,Barcelona,08,6,cotxe,,93.423.53.61,92086026152,BSM016
08-0193-32-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.372299,2.153134,B:SM 35 - Rius i Taulet,Avinguda  de Rius i Taulet, 4-12,Barcelona,0193,Barcelona,08,6,cotxe,,93.423.53.61,92086026152,BSM016
08-0193-32-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.372299,2.153134,B:SM 35 - Rius i Taulet,Avinguda  de Rius i Taulet, 4-12,Barcelona,0193,Barcelona,08,6,cotxe,,93.423.53.61,92086026152,BSM016
08-0193-32-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.372299,2.153134,B:SM 35 - Rius i Taulet,Avinguda  de Rius i Taulet, 4-12,Barcelona,0193,Barcelona,08,6,moto,,93.423.53.61,92086026152,BSM016
08-0193-32-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.372299,2.153134,B:SM 35 - Rius i Taulet,Avinguda  de Rius i Taulet, 4-12,Barcelona,0193,Barcelona,08,6,moto,,93.423.53.61,92086026152,BSM016
08-0193-32-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.372299,2.153134,B:SM 35 - Rius i Taulet,Avinguda  de Rius i Taulet, 4-12,Barcelona,0193,Barcelona,08,6,moto,,93.423.53.61,92086026152,BSM016
08-0193-33-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3885,2.1983,B:SM 17 - Litoral Port,Avinguda  del Litoral, 34,Barcelona,0193,Barcelona,08,3,cotxe,,93.409.20.21,94279114400,BSM017
08-0193-33-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3885,2.1983,B:SM 17 - Litoral Port,Avinguda  del Litoral, 34,Barcelona,0193,Barcelona,08,3,cotxe,,93.409.20.21,94279114400,BSM017
08-0193-33-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.3885,2.1983,B:SM 17 - Litoral Port,Avinguda  del Litoral, 34,Barcelona,0193,Barcelona,08,3,cotxe,,93.409.20.21,94279114400,BSM017
08-0193-34-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4053,2.1429,B:SM 22 - Mitre Putxet,Ronda General Mitre, 203,Barcelona,0193,Barcelona,08,2.cotxe,,93.212.13.43,99400263228,BSM018
08-0193-34-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4053,2.1429,B:SM 22 - Mitre Putxet,Ronda General Mitre, 203,Barcelona,0193,Barcelona,08,2.cotxe,,93.212.13.43,99400263228,BSM018
08-0193-35-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4274,2.1772,B:SM 16 - Illa Borbó,Carrer de Ramon Albó ,77,Barcelona,0193,Barcelona,08,2.cotxe,,93.408.56.44,99400274487,BSM019
08-0193-35-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4274,2.1772,B:SM 16 - Illa Borbó,Carrer de Ramon Albó ,77,Barcelona,0193,Barcelona,08,2.moto,,93.408.56.44,99400274487,BSM019
08-0193-36-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40316548,2.189422846,B:SM 3 - Badajoz -Glòries,Carrer de Badajoz, 168,Barcelona,0193,Barcelona,08,5,cotxe,,93.328.49.49,99400335495,BSM020
08-0193-36-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40316548,2.189422846,B:SM 3 - Badajoz -Glòries,Carrer de Badajoz, 168,Barcelona,0193,Barcelona,08,5,cotxe,,93.328.49.49,99400335495,BSM020
08-0193-36-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40316548,2.189422846,B:SM 3 - Badajoz -Glòries,Carrer de Badajoz, 168,Barcelona,0193,Barcelona,08,5,cotxe,,93.328.49.49,99400335495,BSM020
08-0193-36-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40316548,2.189422846,B:SM 3 - Badajoz -Glòries,Carrer de Badajoz, 168,Barcelona,0193,Barcelona,08,5,moto,,93.328.49.49,99400335495,BSM020
08-0193-36-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.40316548,2.189422846,B:SM 3 - Badajoz -Glòries,Carrer de Badajoz, 168,Barcelona,0193,Barcelona,08,5,moto,,93.328.49.49,99400335495,BSM020
08-0193-37-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.405746,2.162722,B:SM 28 - Plaça Joanic,Carrer de l'Escorial, 1 - Pl, Joanic, 1,Barcelona,0193,Barcelona,08,4,cotxe,,93.284.63.45,99400176822,BSM021
08-0193-37-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.405746,2.162722,B:SM 28 - Plaça Joanic,Carrer de l'Escorial, 1 - Pl, Joanic, 1,Barcelona,0193,Barcelona,08,4,cotxe,,93.284.63.45,99400176822,BSM021
08-0193-37-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.405746,2.162722,B:SM 28 - Plaça Joanic,Carrer de l'Escorial, 1 - Pl, Joanic, 1,Barcelona,0193,Barcelona,08,4,cotxe,,93.284.63.45,99400176822,BSM021
08-0193-37-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.405746,2.162722,B:SM 28 - Plaça Joanic,Carrer de l'Escorial, 1 - Pl, Joanic, 1,Barcelona,0193,Barcelona,08,4,moto,,93.284.63.45,99400176822,BSM021
08-0193-38-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.442055,2.177675,B:SM 31 - Plaça Francesc Layret,Via Júlia, 95,Barcelona,0193,Barcelona,08,4,cotxe,,93.359.39.56,2059101256,BSM022
08-0193-38-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.442055,2.177675,B:SM 31 - Plaça Francesc Layret,Via Júlia, 95,Barcelona,0193,Barcelona,08,4,cotxe,,93.359.39.56,2059101256,BSM022
08-0193-38-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.442055,2.177675,B:SM 31 - Plaça Francesc Layret,Via Júlia, 95,Barcelona,0193,Barcelona,08,4,cotxe,,93.359.39.56,2059101256,BSM022
08-0193-38-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.442055,2.177675,B:SM 31 - Plaça Francesc Layret,Via Júlia, 95,Barcelona,0193,Barcelona,08,4,moto,,93.359.39.56,2059101256,BSM022
08-0193-39-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.399815,2.123474,B:SM 32 - Porta de Sarrià,Carrer de Salvador Mundí, 17,Barcelona,0193,Barcelona,08,3,cotxe,,93.280.17.52,1185155556,BSM023
08-0193-39-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.399815,2.123474,B:SM 32 - Porta de Sarrià,Carrer de Salvador Mundí, 17,Barcelona,0193,Barcelona,08,3,cotxe,,93.280.17.52,1185155556,BSM023
08-0193-39-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.399815,2.123474,B:SM 32 - Porta de Sarrià,Carrer de Salvador Mundí, 17,Barcelona,0193,Barcelona,08,3,moto,,93.280.17.52,1185155556,BSM023
08-0193-40-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.430428,2.187965,B:SM 36 - Sant Andreu Teatre,Carrer de les Monges, 2,Barcelona,0193,Barcelona,08,3,cotxe,,93.311.49.01,2059101139,BSM024
08-0193-40-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.430428,2.187965,B:SM 36 - Sant Andreu Teatre,Carrer de les Monges, 2,Barcelona,0193,Barcelona,08,3,cotxe,,93.311.49.01,2059101139,BSM024
08-0193-40-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.430428,2.187965,B:SM 36 - Sant Andreu Teatre,Carrer de les Monges, 2,Barcelona,0193,Barcelona,08,3,moto,,93.311.49.01,2059101139,BSM024
08-0193-41-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4092,2.1681,B:SM 18 - Marina Gracia,Carrer de la Marina, 345,Barcelona,0193,Barcelona,08,6,cotxe,,93.450.04.49,93173100908,BSM025
08-0193-41-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4092,2.1681,B:SM 18 - Marina Gracia,Carrer de la Marina, 345,Barcelona,0193,Barcelona,08,6,cotxe,,93.450.04.49,93173100908,BSM025
08-0193-41-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4092,2.1681,B:SM 18 - Marina Gracia,Carrer de la Marina, 345,Barcelona,0193,Barcelona,08,6,cotxe,,93.450.04.49,93173100908,BSM025
08-0193-41-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4092,2.1681,B:SM 18 - Marina Gracia,Carrer de la Marina, 345,Barcelona,0193,Barcelona,08,6,cotxe,,93.450.04.49,93173100908,BSM025
08-0193-41-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4092,2.1681,B:SM 18 - Marina Gracia,Carrer de la Marina, 345,Barcelona,0193,Barcelona,08,6,moto,,93.450.04.49,93173100908,BSM025
08-0193-41-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.4092,2.1681,B:SM 18 - Marina Gracia,Carrer de la Marina, 345,Barcelona,0193,Barcelona,08,6,moto,,93.450.04.49,93173100908,BSM025
08-0193-42-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,cotxe,,93.409.20.21,99400180604,BSM026
08-0193-42-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,cotxe,,93.409.20.21,99400180604,BSM026
08-0193-42-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,cotxe,,93.409.20.21,99400180604,BSM026
08-0193-42-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,cotxe,,93.409.20.21,99400180604,BSM026
08-0193-42-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,cotxe,,93.409.20.21,99400180604,BSM026
08-0193-42-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,moto,,93.409.20.21,99400180604,BSM026
08-0193-42-7,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.385662,2.193913,B:SM 25 - P.R.Biomèdica,Carrer del Doctor Aiguader, 88,Barcelona,0193,Barcelona,08,7,moto,,93.409.20.21,99400180604,BSM026
08-0193-43-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.413015,2.221156,B:SM 30 - Plaça del Fòrum ,Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca,Barcelona,0193,Barcelona,08,6,cotxe,,93.356.11.99,99400109894,BSM027
08-0193-43-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.413015,2.221156,B:SM 30 - Plaça del Fòrum ,Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca,Barcelona,0193,Barcelona,08,6,cotxe,,93.356.11.99,99400109894,BSM027
08-0193-43-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.413015,2.221156,B:SM 30 - Plaça del Fòrum ,Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca,Barcelona,0193,Barcelona,08,6,cotxe,,93.356.11.99,99400109894,BSM027
08-0193-43-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.413015,2.221156,B:SM 30 - Plaça del Fòrum ,Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca,Barcelona,0193,Barcelona,08,6,cotxe,,93.356.11.99,99400109894,BSM027
08-0193-43-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.413015,2.221156,B:SM 30 - Plaça del Fòrum ,Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca,Barcelona,0193,Barcelona,08,6,moto,,93.356.11.99,99400109894,BSM027
08-0193-43-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.413015,2.221156,B:SM 30 - Plaça del Fòrum ,Carrer del Camp de la Bota 4C, - Plaça Ernest Narcís i Roca,Barcelona,0193,Barcelona,08,6,moto,,93.356.11.99,99400109894,BSM027
08-0193-44-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),Passeig  de Maragall, 54,Barcelona,0193,Barcelona,08,6,cotxe,,93.435.10.39,95075101412,BSM028
08-0193-44-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),Passeig  de Maragall, 54,Barcelona,0193,Barcelona,08,6,cotxe,,93.435.10.39,95075101412,BSM028
08-0193-44-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),Passeig  de Maragall, 54,Barcelona,0193,Barcelona,08,6,cotxe,,93.435.10.39,95075101412,BSM028
08-0193-44-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),Passeig  de Maragall, 54,Barcelona,0193,Barcelona,08,6,cotxe,,93.435.10.39,95075101412,BSM028
08-0193-44-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),Passeig  de Maragall, 54,Barcelona,0193,Barcelona,08,6,moto,,93.435.10.39,95075101412,BSM028
08-0193-44-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.416515,2.180421,B:SM 26 - Pg. Maragall (C.A.P.),Passeig  de Maragall, 54,Barcelona,0193,Barcelona,08,6,moto,,93.435.10.39,95075101412,BSM028
08-0193-45-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,Passeig de Manuel Girona, 77,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.27.40,98096134801,BSM029
08-0193-45-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,Passeig de Manuel Girona, 77,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.27.40,98096134801,BSM029
08-0193-45-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,Passeig de Manuel Girona, 77,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.27.40,98096134801,BSM029
08-0193-45-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,Passeig de Manuel Girona, 77,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.27.40,98096134801,BSM029
08-0193-45-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,Passeig de Manuel Girona, 77,Barcelona,0193,Barcelona,08,6,moto,,93.280.27.40,98096134801,BSM029
08-0193-45-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.392246,2.128751,B:SM 9 - Cotxeres de Sarrià,Passeig de Manuel Girona, 77,Barcelona,0193,Barcelona,08,6,moto,,93.280.27.40,98096134801,BSM029
08-0193-46-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,Carrer del Cardenal de Sentmenat, 8 ,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.20.18,99400264195,BSM030
08-0193-46-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,Carrer del Cardenal de Sentmenat, 8 ,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.20.18,99400264195,BSM030
08-0193-46-3,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,Carrer del Cardenal de Sentmenat, 8 ,Barcelona,0193,Barcelona,08,6,cotxe,,93.280.20.18,99400264195,BSM030
08-0193-46-4,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,Carrer del Cardenal de Sentmenat, 8 ,Barcelona,0193,Barcelona,08,6,moto,,93.280.20.18,99400264195,BSM030
08-0193-46-5,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,Carrer del Cardenal de Sentmenat, 8 ,Barcelona,0193,Barcelona,08,6,moto,,93.280.20.18,99400264195,BSM030
08-0193-46-6,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.396853,2.126718,B:SM 6 -  Cardenal Sentmenat - Vergós,Carrer del Cardenal de Sentmenat, 8 ,Barcelona,0193,Barcelona,08,6,moto,,93.280.20.18,99400264195,BSM030
08-0193-47-1,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.382737,2.194412,B:SM 15 - Hospital del Mar,Passeig  Marítim de la Barceloneta, 23-31,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.05.00,92178122019,BSM031
08-0193-47-2,B:SM Serveis Municipals,APARCAMENT PUBLIC ,NORMAL,Schuko,NORMAL,MENNEKES.F,,,41.382737,2.194412,B:SM 15 - Hospital del Mar,Passeig  Marítim de la Barceloneta, 23-31,Barcelona,0193,Barcelona,08,9,cotxe,,93.221.05.00,92178122019,BSM031
